"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","462","addProductTCart1","Test Automation Suite","Wed May 21 08:47:06 GMT 2025","passed","Wed May 21 08:47:06 GMT 2025","com.test.automation.tests.HomePageTestNew","Chrome Tests","com.test.automation.tests.HomePageTestNew","addProductTCart1"
"","430","addProductTCart1","Test Automation Suite","Wed May 21 08:47:06 GMT 2025","passed","Wed May 21 08:47:07 GMT 2025","com.test.automation.tests.HomePageTest","Chrome Tests","com.test.automation.tests.HomePageTest","addProductTCart1"
"","1960","addProductTCart","Test Automation Suite","Wed May 21 08:47:00 GMT 2025","passed","Wed May 21 08:47:02 GMT 2025","com.test.automation.tests.HomePageTestNew","Chrome Tests","com.test.automation.tests.HomePageTestNew","addProductTCart"
"","1960","addProductTCart","Test Automation Suite","Wed May 21 08:47:00 GMT 2025","passed","Wed May 21 08:47:02 GMT 2025","com.test.automation.tests.HomePageTest","Chrome Tests","com.test.automation.tests.HomePageTest","addProductTCart"
"","307","addProductTCart1","Test Automation Suite","Wed May 21 08:47:17 GMT 2025","passed","Wed May 21 08:47:18 GMT 2025","com.test.automation.tests.HomePageTest","Firefox Tests","com.test.automation.tests.HomePageTest","addProductTCart1"
"","7140","testSuccessfulLogin","Test Automation Suite","Wed May 21 08:47:00 GMT 2025","broken","Wed May 21 08:47:07 GMT 2025","com.test.automation.tests.LoginTest","Chrome Tests","com.test.automation.tests.LoginTest","testSuccessfulLogin"
"","339","addProductTCart","Test Automation Suite","Wed May 21 08:47:15 GMT 2025","passed","Wed May 21 08:47:15 GMT 2025","com.test.automation.tests.HomePageTest","Firefox Tests","com.test.automation.tests.HomePageTest","addProductTCart"
"","7181","testSuccessfulLogin","Test Automation Suite","Wed May 21 08:47:00 GMT 2025","broken","Wed May 21 08:47:07 GMT 2025","com.test.automation.tests.LoginTestNew","Chrome Tests","com.test.automation.tests.LoginTestNew","testSuccessfulLogin"
"","2047","testSuccessfulLogin","Test Automation Suite","Wed May 21 08:47:14 GMT 2025","broken","Wed May 21 08:47:16 GMT 2025","com.test.automation.tests.LoginTest","Firefox Tests","com.test.automation.tests.LoginTest","testSuccessfulLogin"
"","2105","testFailLogin","Test Automation Suite","Wed May 21 08:47:09 GMT 2025","broken","Wed May 21 08:47:11 GMT 2025","com.test.automation.tests.LoginTestNew","Chrome Tests","com.test.automation.tests.LoginTestNew","testFailLogin"
